dataset,mis_cpu,mi20s_cpu,mis_gpu,mi20s_gpu,mi2way
accidents,0.059461911,0.932725306,0.016348062,0.386721927,4.847200218
ad,1.064298673,16.186635818,0.155641681,2.621218722,121.343759804
baudio,0.039450242,0.918039255,0.017411184,0.47638147,3.004576704
bbc,0.233158806,7.275311704,0.06417773,1.045704771,39.945819191
bnetflix,0.03427371,0.877967051,0.018033257,0.45648403,2.934524486
book,0.166924715,4.325585912,0.06396484,1.453486547,43.414395594
c20ng,0.76596182,16.429253394,0.203128109,3.690545484,181.596926012
cr52,0.619935949,11.196410289,0.099761316,2.186652903,102.171094416
cwebkb,0.162243766,3.722988931,0.059919463,1.170596853,40.295600564
dna,0.024079218,0.268916279,0.004245161,0.115057842,1.161158894
jester,0.027358107,0.572588723,0.010684298,0.271694541,1.762893352
kdd,0.495635772,10.070475938,0.162986071,3.583007526,13.285864717
kosarek,0.217078044,4.122727792,0.074519909,1.700467625,22.716399116
msnbc,0.140519336,3.399920502,0.09416474,2.066476569,1.316534054
msweb,0.734765062,9.016389735,0.128241354,2.436139678,47.840389272
nltcs,0.004606862,0.149451712,0.005017193,0.105212531,0.067274546
plants,0.030930743,0.738620401,0.014739116,0.378097859,1.594107292
pumsb_star,0.055531403,1.237406732,0.023237376,0.564743539,6.491119135
tmovie,0.096196727,2.261188817,0.048469768,0.806343995,23.227112807
tretail,0.109428091,2.259036065,0.035645111,0.810972315,7.71967727
